Time,Temperature,dT_dt
0,137,0.000491400491400491
130.300000000003,137.1,0.000484648750817845
317.600000000006,137.2,0.00049480455220188
497.600000000006,137.3,0.000495331500606781
655.800000000003,137.4,0.000490893917824358
1055.4,137.5,0.000509943906170321
1256,137.6,0.000534188034188034
1513.10000000001,137.7,0.000548501220415216
1720.2,137.8,0.000561797752808989
1980.10000000001,137.9,0.000570450656018254
2118.8,138,0.000565834889379279
2413.5,138.1,0.000596018595780187
2646.3,138.2,0.00062127236580517
2734,138.3,0.0006000600060006
2951.2,138.4,0.000605528474976535
3240.8,138.5,0.00062402496099844
3454.8,138.6,0.000658891744086446
3524.10000000001,138.7,0.000651869235031453
3706,138.8,0.00066203243958954
3809.2,138.9,0.00064511966969873
4070,139,0.000650596922676555
4257,139.1,0.000663393923311662
4359.60000000001,139.2,0.000658371189676741
4535.3,139.3,0.000675173857268247
4730,139.4,0.000694927032661571
4977.4,139.5,0.000738034613823388
5000,139.6,0.000719683339330694
5159.4,139.7,0.000710858361471477
5280.2,139.8,0.000695047784535187
5486.10000000001,139.9,0.000726532984597502
5653.4,140,0.00074878322725571
5769.10000000001,140.1,0.000758955676988465
5865.5,140.2,0.000767165324127349
6067,140.3,0.000780883960643447
6254.10000000001,140.4,0.000834480744356825
6445.8,140.5,0.000828946823061302
6490.2,140.6,0.00080521781141799
6592.2,140.7,0.000786998780151892
6727,140.8,0.000791514959632736
6909.4,140.9,0.000830254472995973
7144.10000000001,141,0.000886485528123754
7271.8,141.1,0.00088944231966557
7397.4,141.2,0.000906412871062769
7497.5,141.3,0.000893774858113239
7608,141.4,0.000892857142857143
7687.3,141.5,0.000857302070384499
7779,141.6,0.000864677907479464
7972.9,141.7,0.000916800366720147
8157.7,141.8,0.000958359288897407
8238.9,141.9,0.000952290258070658
8324.4,142,0.000963112780506598
8404.3,142.1,0.000956205775482885
8472.5,142.2,0.00093453576935657
8628.2,142.3,0.000940778023425372
8650.8,142.4,0.000900130518925244
8858.5,142.5,0.000940070505287897
8974,142.6,0.000960984047664807
9133.5,142.7,0.000990834778300718
9253.8,142.8,0.00101030511214387
9318.3,142.9,0.00101081572829273
9400.2,143,0.0010404744563521
9520.4,143.1,0.00105988341282459
9603.9,143.2,0.0010372368011617
9735.2,143.3,0.0010561334952738
9848,143.4,0.00105652403592182
10020.2,143.5,0.00108701559867384
10092,143.6,0.00105999576001696
10154.4,143.7,0.00103901501376695
10244.6,143.8,0.00104673679803214
10339.1,143.9,0.00105113785672991
10401,144,0.00103108728153838
10495.9,144.1,0.00104014978156854
10612.6,144.2,0.00106638229805385
10754.1,144.3,0.0010988407230372
10872.7,144.4,0.00110302228105008
10986,144.5,0.00111613371281879
11055.2,144.6,0.00114226968987378
11152,144.7,0.0011468547508458
11233.4,144.8,0.00114266125807004
11296.9,144.9,0.00113359405996712
11322.4,145,0.00113147770988912
11407.4,145.1,0.001127586401308
11532.1,145.2,0.00116407659624003
11628.9,145.3,0.00116056403412058
11741,145.4,0.00117295173303618
11860.1,145.5,0.00120402143158148
11978.8,145.6,0.00125211294058724
12079.3,145.7,0.00129525289812836
12155.3,145.8,0.00126943827356395
12241.8,145.9,0.00129274125783725
12340.7,146,0.00128832775057975
12418.7,146.1,0.0012846865364851
12488.1,146.2,0.00128567755206994
12574.2,146.3,0.00130157490563582
12685.9,146.4,0.00129399585921325
12777.9,146.5,0.00128691847371469
12806.1,146.6,0.00122473974280465
12895.9,146.7,0.00126702565726956
12983.7,146.8,0.00127599846880184
13061.2,146.9,0.00130106687483737
13090,147,0.00125023441895355
13181.1,147.1,0.00127681307456589
13250.2,147.2,0.00125976316452507
13352.2,147.3,0.00127624274136941
13446.1,147.4,0.00124478745254248
13521.2,147.5,0.00127445357802842
13576.1,147.6,0.00123823675086677
13623.4,147.7,0.00124742718143828
13730.8,147.8,0.00124820570430007
13788.9,147.9,0.0012453300124533
13893.1,148,0.00128824476650564
13975.5,148.1,0.00129224009821024
14043.7,148.2,0.00132275132275132
14110.8,148.3,0.00129157248950597
14231.5,148.4,0.00135098621994056
14332,148.5,0.00137485392177081
14439.1,148.6,0.0014113330040223
14474.4,148.7,0.00135556459265284
14551.1,148.8,0.00135547272111149
14598.4,148.9,0.00133129201890434
14689.7,149,0.00133645172068159
14747.5,149.1,0.00130259215839521
14837.8,149.2,0.00130932896890344
14919.3,149.3,0.00132740426096768
15052.8,149.4,0.00139440842222687
15090.5,149.5,0.00139489468545125
15191.3,149.6,0.00141673160019835
15226.7,149.7,0.00135189941868325
15333.1,149.8,0.00142938822184106
15394.9,149.9,0.00139596565924478
15445.6,150,0.00136379133992499
15523.2,150.1,0.00135263086703639
15555.7,150.2,0.00127926314442881
15659.3,150.3,0.00130992926381975
15711.9,150.4,0.00129567245400363
15786.7,150.5,0.00125179946172623
15856.2,150.6,0.00125825731362064
15949.8,150.7,0.00125612360256249
16026.6,150.8,0.00125031257814454
16100.7,150.9,0.00126167045167802
16186.2,151,0.00130352603793261
16282.9,151.1,0.00129132231404958
16365.3,151.2,0.00130157490563582
16426,151.3,0.00129065565307176
16487.1,151.4,0.00127852713673848
16524.3,151.5,0.00124308533780844
16603,151.6,0.00126079556199962
16706.1,151.7,0.00128155837498398
16732.3,151.8,0.00122880314573605
16827.6,151.9,0.00128336755646818
16912.1,152,0.00126047772105628
17001.8,152.1,0.00130907186804555
17119.1,152.2,0.001341471594339
17186.1,152.3,0.00131760985572173
17255.5,152.4,0.00136425648021828
17384.4,152.5,0.00138677021217584
17445.7,152.6,0.00137230684781117
17542,152.7,0.0014367816091954
17626.2,152.8,0.00141733399475587
17685.9,152.9,0.00139528394028185
17720.5,153,0.00140075640846057
17831.7,153.1,0.0014030164854437
17901.9,153.2,0.00143605945286134
17975.6,153.3,0.00143533802210421
18051.4,153.4,0.00140558015320824
18133.2,153.5,0.00148511175465954
18189.3,153.6,0.001424399971512
18266.7,153.7,0.0014580447619742
18359.9,153.8,0.00148170099273966
18386,153.9,0.00143420580853352
18498.8,154,0.00150466445982546
18529.6,154.1,0.00143163922691482
18610,154.2,0.00149666990945147
18704,154.3,0.00155884645362432
18721.5,154.4,0.00148225005558437
18826.6,154.5,0.00154786781208885
