Time,Temperature,dT_dt
0,91,0.000489117143555882
207,91.1,0.000488639139995114
370,91.2,0.000488758553274682
760,91.3,0.000515729757607014
875,91.4,0.000504159314343333
1103,91.5,0.000509294626941686
1307,91.6,0.000512032770097286
1501,91.7,0.000512689054088695
1673,91.8,0.00051374261494991
1924,91.9,0.00052534804307854
2131,92,0.000527704485488127
2331,92.1,0.000532056397978186
2536,92.2,0.000538938291565616
2724,92.3,0.000539811066126856
2905,92.4,0.0005424464334147
3099,92.5,0.000535188654000535
3293,92.6,0.000538938291565616
3476,92.7,0.000547345374931582
3657,92.8,0.000552486187845304
3940,92.9,0.000570939194975735
4089,93,0.000570939194975735
4300,93.1,0.000583941605839416
4462,93.2,0.000585651537335285
4638,93.3,0.000575208513085994
4842,93.4,0.000583771161704612
5030,93.5,0.00059506099375186
5213,93.6,0.000605693519079346
5402,93.7,0.000614817091915155
5566,93.8,0.000616903146206046
5731,93.9,0.00062363579669473
5921,94,0.000633713561470215
6090,94.1,0.000627352572145546
6247,94.2,0.000633713561470215
6429,94.3,0.000647668393782383
6592,94.4,0.00065359477124183
6836,94.5,0.00068073519400953
7004,94.6,0.000686813186813187
7130,94.7,0.000685871056241427
7277,94.8,0.000692281066112842
7443,94.9,0.000702000702000702
7592,95,0.000707463742483198
7725,95.1,0.000709219858156028
7877,95.2,0.000716332378223496
8115,95.3,0.000746825989544436
8268,95.4,0.000756715853197125
8391,95.5,0.000761614623000762
8515,95.6,0.000760167236792094
8655,95.7,0.000765110941086458
8808,95.8,0.000773993808049536
8938,95.9,0.000777907429015947
9077,96,0.000791139240506329
9278,96.1,0.000822368421052632
9403,96.2,0.000827129859387924
9517,96.3,0.000832292967124428
9652,96.4,0.000838926174496644
9774,96.5,0.000822706705059646
9916,96.6,0.000834724540901503
10046,96.7,0.000842815002107038
10166,96.8,0.000844951415293621
10292,96.9,0.000853242320819113
10419,97,0.000868055555555556
10545,97.1,0.000876040297853701
10669,97.2,0.000883782589482987
10793,97.3,0.000874508089199825
10911,97.4,0.00088261253309797
11017,97.5,0.000884564352056612
11146,97.6,0.000906207521522429
11269,97.7,0.000909504320145521
11392,97.8,0.000922509225092251
11509,97.9,0.000938086303939962
11605,98,0.000938967136150235
11710,98.1,0.000943841434638981
11821,98.2,0.000954653937947494
11920,98.3,0.000960153624579933
12036,98.4,0.000974184120798831
12205,98.5,0.00100806451612903
12312,98.6,0.0010183299389002
12419,98.7,0.00102827763496144
12533,98.8,0.0010482180293501
12636,98.9,0.00105708245243129
12723,99,0.00105318588730911
12828,99.1,0.00107123727905731
12932,99.2,0.00108695652173913
13080,99.3,0.00112739571589628
13177,99.4,0.00113830392714855
13278,99.5,0.00115473441108545
13353,99.6,0.00114876507754164
13468,99.7,0.0011454753722795
13560,99.8,0.00115473441108545
13641,99.9,0.00115942028985507
13735,100,0.00117302052785924
13829,100.1,0.00118976799524093
13916,100.2,0.00119047619047619
14003,100.3,0.00119617224880383
14089,100.4,0.00120409391932571
14189,100.5,0.00119260584376863
14276,100.6,0.00120336943441637
14364,100.7,0.00121432908318154
14441,100.8,0.00121951219512195
14528,100.9,0.00122850122850123
14622,101,0.00124069478908189
14695,101.1,0.0012453300124533
14772,101.2,0.00125234815278647
14854,101.3,0.00125707102451289
14934,101.4,0.00126422250316056
15010,101.5,0.00126823081800888
15094,101.6,0.00128122998078155
15214,101.7,0.00131233595800525
15292,101.8,0.00133155792276964
15366,101.9,0.0013262599469496
15440,102,0.00133511348464619
15510,102.1,0.00127064803049555
15596,102.2,0.00129366106080207
15675,102.3,0.00131147540983607
15750,102.4,0.00132450331125828
15866,102.5,0.00137174211248285
15938,102.6,0.00138026224982747
16011,102.7,0.00138600138600139
16081,102.8,0.00140154169586545
16156,102.9,0.00139470013947001
16234,103,0.00141843971631206
16301,103.1,0.00142450142450142
16369,103.2,0.00142450142450142
16445,103.3,0.0014336917562724
16516,103.4,0.00145032632342277
16587,103.5,0.00145032632342277
16655,103.6,0.0014609203798393
16738,103.7,0.00144300144300144
16794,103.8,0.00144927536231884
16874,103.9,0.00146842878120411
16938,104,0.00147058823529412
17084,104.1,0.00156739811912226
17142,104.2,0.00155763239875389
17200,104.3,0.00154918667699458
17260,104.4,0.00154440154440154
17324,104.5,0.00156128024980484
17387,104.6,0.00155159038013964
17454,104.7,0.00155884645362432
17508,104.8,0.0015600624024961
17590,104.9,0.00158856235107228
17644,105,0.00156985871271586
17705,105.1,0.001573564122738
17773,105.2,0.00156372165754496
17840,105.3,0.00154798761609907
17895,105.4,0.00155038759689922
17966,105.5,0.00154679040989946
18024,105.6,0.0015527950310559
18124,105.7,0.00159489633173844
18174,105.8,0.00159744408945687
18236,105.9,0.00159616919393456
18298,106,0.00159489633173844
18360,106.1,0.00159362549800797
18426,106.2,0.00160901045856798
18491,106.3,0.0016220600162206
18555,106.4,0.00164744645799012
18605,106.5,0.00160901045856798
18676,106.6,0.00165152766308836
18737,106.7,0.00171821305841924
18790,106.8,0.00169923534409516
18849,106.9,0.0016597510373444
18918,107,0.00166666666666667
18976,107.1,0.00164744645799012
19052,107.2,0.00168067226890756
19132,107.3,0.00173310225303293
19185,107.4,0.00172711571675302
19259,107.5,0.00174825174825175
19312,107.6,0.00174216027874564
19378,107.7,0.00176056338028169
19426,107.8,0.00174064403829417
19489,107.9,0.00174520069808028
19552,108,0.0017636684303351
19615,108.1,0.00176991150442478
19669,108.2,0.00182315405651778
19724,108.3,0.00185185185185185
19769,108.4,0.00182315405651778
19848,108.5,0.00181323662737987
19887,108.6,0.0017905102954342
19901,108.7,0.00170794192997438
19967,108.8,0.00174216027874564
20054,108.9,0.0017825311942959
20118,109,0.00178412132024978
20190,109.1,0.00181653042688465
20242,109.2,0.001806684733514
20286,109.3,0.0017905102954342
20343,109.4,0.00178731009830206
20403,109.5,0.00185528756957328
20460,109.6,0.00189214758751183
20514,109.7,0.00189035916824197
20575,109.8,0.00189933523266857
20635,109.9,0.00190114068441065
20686,110,0.00190294957183635
20745,110.1,0.00186567164179104
20766,110.2,0.00181159420289855
20804,110.3,0.00178731009830206
20866,110.4,0.0017825311942959
20951,110.5,0.00185013876040703
21004,110.6,0.00187090739008419
21072,110.7,0.00196656833824975
21115,110.8,0.0019588638589618
21176,110.9,0.00198216055500496
21239,111,0.00198609731876862
21291,111.1,0.00199401794616152
21349,111.2,0.00199401794616152
21403,111.3,0.00200601805416249
21462,111.4,0.00202020202020202
21481,111.5,0.00197044334975369
21517,111.6,0.00193610842207164
21572,111.7,0.001998001998002
21628,111.8,0.00201409869083585
21687,111.9,0.00203665987780041
21737,112,0.00204498977505112
21817,112.1,0.00211640211640212
21870,112.2,0.00213219616204691
21923,112.3,0.0021551724137931
21988,112.4,0.0021978021978022
22032,112.5,0.00218340611353712
22073,112.6,0.00222222222222222
22089,112.7,0.00219058050383352
22136,112.8,0.00225225225225225
22185,112.9,0.00228050171037628
22246,113,0.00231481481481481
22294,113.1,0.00233100233100233
22352,113.2,0.00237812128418549
22400,113.3,0.00232018561484919
22452,113.4,0.00235849056603774
22496,113.5,0.00235571260306243
22550,113.6,0.002389486260454
22573,113.7,0.00232558139534884
22621,113.8,0.00233372228704784
22669,113.9,0.00238095238095238
22715,114,0.0024906600249066
22762,114.1,0.00250941028858218
22808,114.2,0.00252206809583859
22851,114.3,0.00253807106598985
22898,114.4,0.00255427841634738
22948,114.5,0.00257731958762887
22973,114.6,0.00254129606099111
23002,114.7,0.00249376558603491
23024,114.8,0.00243605359317905
23062,114.9,0.0024330900243309
23110,115,0.00243605359317905
23152,115.1,0.00245700245700246
23193,115.2,0.00257731958762887
23262,115.3,0.00267737617135207
23300,115.4,0.00268096514745308
23345,115.5,0.00269905533063428
23387,115.6,0.0027027027027027
23433,115.7,0.00271739130434783
23478,115.8,0.00273972602739726
23509,115.9,0.00271739130434783
23518,116,0.00260756192959583
23559,116.1,0.00262123197903014
