Time,Temperature,dT_dt
0,140,0.0050761421319797
19,140.1,0.00508905852417303
37,140.2,0.00508905852417303
58,140.3,0.00510204081632653
76,140.4,0.00510204081632653
94,140.5,0.00508905852417303
121,140.6,0.00518134715025907
134,140.7,0.00508905852417303
159,140.8,0.00516795865633075
185,140.9,0.00531914893617021
200,141,0.00520833333333333
217,141.1,0.00523560209424084
236,141.2,0.00520833333333333
259,141.3,0.00527704485488127
275,141.4,0.00527704485488127
294,141.5,0.00529100529100529
314,141.6,0.00533333333333333
333,141.7,0.00537634408602151
355,141.8,0.00546448087431694
374,141.9,0.00552486187845304
394,142,0.00558659217877095
412,142.1,0.00563380281690141
430,142.2,0.00563380281690141
450,142.3,0.00576368876080692
468,142.4,0.00576368876080692
487,142.5,0.00583090379008746
507,142.6,0.00591715976331361
527,142.7,0.00604229607250755
546,142.8,0.00609756097560976
561,142.9,0.00617283950617284
584,143,0.00630914826498423
599,143.1,0.00625
620,143.2,0.00641025641025641
638,143.3,0.0065359477124183
654,143.4,0.00657894736842105
672,143.5,0.00664451827242525
689,143.6,0.00675675675675676
705,143.7,0.00668896321070234
721,143.8,0.00671140939597315
736,143.9,0.00680272108843537
752,144,0.0068259385665529
767,144.1,0.00689655172413793
785,144.2,0.00704225352112676
797,144.3,0.00704225352112676
815,144.4,0.00719424460431655
830,144.5,0.0072463768115942
845,144.6,0.00727272727272727
858,144.7,0.00735294117647059
874,144.8,0.0075187969924812
885,144.9,0.00746268656716418
901,145,0.00760456273764259
919,145.1,0.00778210116731518
932,145.2,0.00790513833992095
944,145.3,0.00784313725490196
958,145.4,0.00796812749003984
973,145.5,0.00806451612903226
985,145.6,0.00819672131147541
1004,145.7,0.00843881856540084
1019,145.8,0.00862068965517241
1030,145.9,0.00862068965517241
1045,146,0.00881057268722467
1057,146.1,0.00888888888888889
1069,146.2,0.00896860986547085
1081,146.3,0.00904977375565611
1093,146.4,0.00904977375565611
1106,146.5,0.00925925925925926
1120,146.6,0.00934579439252336
1130,146.7,0.00938967136150235
1140,146.8,0.00938967136150235
1153,146.9,0.00947867298578199
1164,147,0.00966183574879227
1176,147.1,0.00966183574879227
1185,147.2,0.00970873786407767
1199,147.3,0.00985221674876847
1209,147.4,0.00995024875621891
1221,147.5,0.0101010101010101
1229,147.6,0.00995024875621891
1241,147.7,0.0101522842639594
1251,147.8,0.0101522842639594
1262,147.9,0.0102040816326531
1272,148,0.0102040816326531
1282,148.1,0.0103626943005181
1292,148.2,0.0104166666666667
1302,148.3,0.0104712041884817
1314,148.4,0.0106382978723404
1322,148.5,0.0105820105820106
1334,148.6,0.0108108108108108
1343,148.7,0.0108108108108108
1353,148.8,0.0108108108108108
1364,148.9,0.010989010989011
1371,149,0.0109289617486339
1383,149.1,0.0111111111111111
1391,149.2,0.0111111111111111
1402,149.3,0.0112359550561798
1410,149.4,0.0111731843575419
1419,149.5,0.0111731843575419
1430,149.6,0.0114942528735632
1438,149.7,0.0114942528735632
1448,149.8,0.0114942528735632
1458,149.9,0.0116959064327485
1468,150,0.0119047619047619
1475,150.1,0.0114285714285714
1484,150.2,0.0115606936416185
1493,150.3,0.0115606936416185
1502,150.4,0.0118343195266272
1511,150.5,0.0118343195266272
1519,150.6,0.0118343195266272
1528,150.7,0.0119760479041916
1538,150.8,0.0121212121212121
1546,150.9,0.0121212121212121
1554,151,0.0121212121212121
1563,151.1,0.0122699386503067
1571,151.2,0.0123456790123457
1580,151.3,0.0124223602484472
1589,151.4,0.0126582278481013
1598,151.5,0.0127388535031847
1604,151.6,0.0127388535031847
1612,151.7,0.0127388535031847
1622,151.8,0.012987012987013
1629,151.9,0.012987012987013
1636,152,0.0129032258064516
1650,152.1,0.0135135135135135
1657,152.2,0.0134228187919463
1666,152.3,0.0137931034482759
1671,152.4,0.0136054421768707
1680,152.5,0.0137931034482759
1688,152.6,0.0138888888888889
1695,152.7,0.013986013986014
1703,152.8,0.0140845070422535
1711,152.9,0.0141843971631206
1719,153,0.0143884892086331
1726,153.1,0.0142857142857143
1733,153.2,0.0142857142857143
1741,153.3,0.0145985401459854
1747,153.4,0.0144927536231884
1755,153.5,0.0147058823529412
1761,153.6,0.0144927536231884
1769,153.7,0.0147058823529412
1776,153.8,0.0149253731343284
1783,153.9,0.0149253731343284
1791,154,0.0151515151515152
1798,154.1,0.0151515151515152
1806,154.2,0.0155038759689922
1811,154.3,0.0151515151515152
1818,154.4,0.0153846153846154
1825,154.5,0.0155038759689922
1832,154.6,0.015625
1838,154.7,0.0155038759689922
1845,154.8,0.015625
1852,154.9,0.0158730158730159
1858,155,0.015748031496063
1866,155.1,0.0163934426229508
1873,155.2,0.0166666666666667
1878,155.3,0.0165289256198347
1885,155.4,0.0166666666666667
1891,155.5,0.0165289256198347
1899,155.6,0.0169491525423729
1905,155.7,0.0169491525423729
1910,155.8,0.0168067226890756
1917,155.9,0.0170940170940171
1923,156,0.0170940170940171
1930,156.1,0.0173913043478261
1935,156.2,0.0170940170940171
1943,156.3,0.0176991150442478
1948,156.4,0.0175438596491228
1954,156.5,0.0176991150442478
1960,156.6,0.0176991150442478
1967,156.7,0.018018018018018
1973,156.8,0.018018018018018
1978,156.9,0.018018018018018
1985,157,0.0181818181818182
1988,157.1,0.0178571428571429
1993,157.2,0.0178571428571429
1999,157.3,0.018018018018018
2005,157.4,0.018018018018018
2012,157.5,0.0181818181818182
2017,157.6,0.0181818181818182
2023,157.7,0.0185185185185185
2029,157.8,0.0185185185185185
2034,157.9,0.0185185185185185
2040,158,0.0188679245283019
2045,158.1,0.0186915887850467
2052,158.2,0.019047619047619
2056,158.3,0.0186915887850467
2062,158.4,0.019047619047619
2067,158.5,0.019047619047619
2073,158.6,0.019047619047619
2078,158.7,0.019047619047619
2084,158.8,0.0194174757281553
2089,158.9,0.0196078431372549
2095,159,0.0196078431372549
2100,159.1,0.0196078431372549
2105,159.2,0.0196078431372549
2110,159.3,0.0198019801980198
2116,159.4,0.0198019801980198
2122,159.5,0.0202020202020202
2127,159.6,0.0202020202020202
2131,159.7,0.0202020202020202
2137,159.8,0.0204081632653061
2142,159.9,0.0206185567010309
