Time,Temperature,dT_dt
0,126,0.00374531835205993
23,126.1,0.00366300366300366
50,126.2,0.003690036900369
85,126.3,0.00375234521575985
111,126.4,0.00376647834274953
155,126.5,0.00389863547758285
186,126.6,0.00401606425702811
214,126.7,0.00418410041841004
242,126.8,0.00421940928270042
245,126.9,0.00408163265306122
267,127,0.00407331975560081
298,127.1,0.0041407867494824
322,127.2,0.00415800415800416
352,127.3,0.00421940928270042
379,127.4,0.00426439232409382
409,127.5,0.00432900432900433
435,127.6,0.00437636761487965
460,127.7,0.0044543429844098
485,127.8,0.00469483568075117
509,127.9,0.00472813238770686
534,128,0.00483091787439614
569,128.1,0.00498753117206983
592,128.2,0.00503778337531486
618,128.3,0.0050761421319797
642,128.4,0.0051413881748072
668,128.5,0.00520833333333333
684,128.6,0.00519480519480519
692,128.7,0.00506329113924051
716,128.8,0.0051150895140665
735,128.9,0.0051413881748072
758,129,0.00539083557951483
781,129.1,0.00552486187845304
803,129.2,0.00557103064066852
826,129.3,0.00554016620498615
848,129.4,0.00558659217877095
871,129.5,0.00571428571428571
892,129.6,0.00578034682080925
909,129.7,0.00574712643678161
911,129.8,0.00550964187327824
932,129.9,0.00560224089635854
948,130,0.00558659217877095
970,130.1,0.00568181818181818
989,130.2,0.0056980056980057
1012,130.3,0.00583090379008746
1031,130.4,0.00589970501474926
1052,130.5,0.00602409638554217
1069,130.6,0.00602409638554217
1087,130.7,0.0060790273556231
1107,130.8,0.00611620795107034
1124,130.9,0.00636942675159236
1129,131,0.00630914826498423
1143,131.1,0.00626959247648903
1162,131.2,0.00638977635782748
1187,131.3,0.00657894736842105
1206,131.4,0.00664451827242525
1221,131.5,0.00671140939597315
1238,131.6,0.00677966101694915
1257,131.7,0.00689655172413793
1274,131.8,0.00699300699300699
1289,131.9,0.00701754385964912
1306,132,0.00711743772241993
1322,132.1,0.00716845878136201
1340,132.2,0.00732600732600733
1355,132.3,0.00738007380073801
1370,132.4,0.00749063670411985
1384,132.5,0.00740740740740741
1401,132.6,0.00746268656716418
1416,132.7,0.00757575757575758
1434,132.8,0.00772200772200772
1438,132.9,0.00749063670411985
1446,133,0.00743494423791822
1462,133.1,0.00754716981132075
1475,133.2,0.00757575757575758
1491,133.3,0.00772200772200772
1507,133.4,0.00796812749003984
1519,133.5,0.008
1533,133.6,0.00813008130081301
1547,133.7,0.00829875518672199
1560,133.8,0.00840336134453781
1574,133.9,0.00851063829787234
1587,134,0.00869565217391304
1601,134.1,0.00881057268722467
1613,134.2,0.00888888888888889
1626,134.3,0.00900900900900901
1637,134.4,0.00904977375565611
1654,134.5,0.00938967136150235
1669,134.6,0.00966183574879227
1680,134.7,0.01
1693,134.8,0.0104166666666667
1705,134.9,0.0105263157894737
1715,135,0.0105820105820106
1727,135.1,0.010752688172043
1739,135.2,0.0109289617486339
1750,135.3,0.0110497237569061
1758,135.4,0.0110497237569061
1769,135.5,0.0111111111111111
1779,135.6,0.0112359550561798
1788,135.7,0.010989010989011
1798,135.8,0.0111731843575419
1809,135.9,0.0112994350282486
1817,136,0.0112994350282486
1828,136.1,0.0114285714285714
1838,136.2,0.0115606936416185
1848,136.3,0.0117647058823529
1858,136.4,0.0118343195266272
1867,136.5,0.0119760479041916
1876,136.6,0.0120481927710843
1880,136.7,0.0117647058823529
1885,136.8,0.0116279069767442
1895,136.9,0.0118343195266272
1904,137,0.0119047619047619
1913,137.1,0.0119760479041916
1922,137.2,0.0120481927710843
1931,137.3,0.0122699386503067
1939,137.4,0.0121951219512195
1949,137.5,0.0125
1957,137.6,0.0125
1970,137.7,0.012987012987013
1977,137.8,0.012987012987013
1986,137.9,0.0132450331125828
1994,138,0.0133333333333333
2003,138.1,0.0135135135135135
2011,138.2,0.0136986301369863
2018,138.3,0.0136986301369863
2027,138.4,0.0138888888888889
2034,138.5,0.0138888888888889
2042,138.6,0.0140845070422535
2050,138.7,0.0140845070422535
2057,138.8,0.0142857142857143
2064,138.9,0.0143884892086331
2072,139,0.0148148148148148
2080,139.1,0.0149253731343284
2088,139.2,0.0150375939849624
2094,139.3,0.0151515151515152
2103,139.4,0.0155038759689922
2109,139.5,0.0153846153846154
2117,139.6,0.0155038759689922
2124,139.7,0.015748031496063
2131,139.8,0.015748031496063
2137,139.9,0.0158730158730159
2144,140,0.0161290322580645
2151,140.1,0.016260162601626
2157,140.2,0.0161290322580645
2164,140.3,0.016260162601626
2171,140.4,0.0165289256198347
2178,140.5,0.0166666666666667
2184,140.6,0.0168067226890756
2192,140.7,0.0172413793103448
2197,140.8,0.0170940170940171
2203,140.9,0.0172413793103448
2207,141,0.0168067226890756
2214,141.1,0.0172413793103448
2221,141.2,0.0173913043478261
2226,141.3,0.0173913043478261
2232,141.4,0.0176991150442478
2239,141.5,0.0176991150442478
2246,141.6,0.0181818181818182
2251,141.7,0.018018018018018
2258,141.8,0.0185185185185185
2263,141.9,0.018348623853211
2268,142,0.018348623853211
2274,142.1,0.0186915887850467
2281,142.2,0.019047619047619
2287,142.3,0.0192307692307692
2292,142.4,0.0194174757281553
2298,142.5,0.0194174757281553
2303,142.6,0.0196078431372549
2308,142.7,0.0198019801980198
2314,142.8,0.0196078431372549
2319,142.9,0.02
2326,143,0.0204081632653061
2330,143.1,0.0204081632653061
2336,143.2,0.0206185567010309
2341,143.3,0.0208333333333333
2345,143.4,0.0206185567010309
2352,143.5,0.0212765957446809
2356,143.6,0.0210526315789474
2362,143.7,0.0210526315789474
2366,143.8,0.0208333333333333
2372,143.9,0.0212765957446809
2377,144,0.021505376344086
2381,144.1,0.021978021978022
2386,144.2,0.0222222222222222
2391,144.3,0.0222222222222222
2395,144.4,0.0224719101123595
2401,144.5,0.0232558139534884
2405,144.6,0.0235294117647059
2409,144.7,0.0240963855421687
2416,144.8,0.025
2419,144.9,0.0246913580246914
2424,145,0.0246913580246914
2428,145.1,0.025
2433,145.2,0.0253164556962025
2437,145.3,0.0256410256410256
2442,145.4,0.0256410256410256
2446,145.5,0.0256410256410256
2451,145.6,0.0263157894736842
2457,145.7,0.027027027027027
2462,145.8,0.0277777777777778
2466,145.9,0.0277777777777778
2470,146,0.0277777777777778
2472,146.1,0.0273972602739726
2476,146.2,0.0277777777777778
2481,146.3,0.028169014084507
2484,146.4,0.0277777777777778
2487,146.5,0.0273972602739726
2490,146.6,0.0273972602739726
2492,146.7,0.027027027027027
2496,146.8,0.027027027027027
2500,146.9,0.027027027027027
2505,147,0.028169014084507
2508,147.1,0.0277777777777778
2512,147.2,0.0277777777777778
2515,147.3,0.0277777777777778
2520,147.4,0.028169014084507
2524,147.5,0.0285714285714286
2527,147.6,0.0285714285714286
2531,147.7,0.0285714285714286
2534,147.8,0.0285714285714286
2538,147.9,0.0294117647058824
2542,148,0.0294117647058824
2545,148.1,0.0294117647058824
2548,148.2,0.0294117647058824
2552,148.3,0.0294117647058824
2556,148.4,0.0303030303030303
2560,148.5,0.0307692307692308
2563,148.6,0.0303030303030303
2566,148.7,0.0307692307692308
2570,148.8,0.03125
2574,148.9,0.0317460317460317
2576,149,0.03125
2580,149.1,0.0317460317460317
2584,149.2,0.032258064516129
2587,149.3,0.032258064516129
2591,149.4,0.0327868852459016
2594,149.5,0.0333333333333333
2597,149.6,0.0333333333333333
2601,149.7,0.0338983050847458
2604,149.8,0.0344827586206897
2606,149.9,0.0338983050847458
2610,150,0.0344827586206897
2613,150.1,0.0344827586206897
2616,150.2,0.0338983050847458
2620,150.3,0.0350877192982456
2622,150.4,0.0350877192982456
2625,150.5,0.0350877192982456
2629,150.6,0.0363636363636364
2631,150.7,0.0357142857142857
2634,150.8,0.0363636363636364
2637,150.9,0.037037037037037
2640,151,0.037037037037037
2643,151.1,0.0377358490566038
2646,151.2,0.0384615384615385
2649,151.3,0.0384615384615385
2652,151.4,0.0392156862745098
2654,151.5,0.0392156862745098
2657,151.6,0.0392156862745098
2660,151.7,0.04
2662,151.8,0.04
2665,151.9,0.0408163265306122
2668,152,0.0408163265306122
2671,152.1,0.0425531914893617
2675,152.2,0.0434782608695652
2677,152.3,0.0434782608695652
2679,152.4,0.0434782608695652
2682,152.5,0.0434782608695652
